,Start Time,Period (min),NE Name,BSC6910UCell,VS.HSDPA.MeanChThroughput (kbit/s),HSDPA_Data_Volume_MB (MB),Cell Availability (%),Overall Accessibility Success Rate PS Interactive EUL (%) (%),Max HSDPA UE (None),Mean HSDPA UE (None),cluster,,,,,,
73,2/18/2021 0:00,60,DRH38,"Label=NSRPR03HA, CellID=8593, LogicRNCID=838",1932.063,740.101,100,100,25,7.365,0,,,,,,
74,2/18/2021 0:00,60,DRH38,"Label=NSRPR03WB, CellID=14297, LogicRNCID=838",1879.545,669.939,100,100,16,4.579,1,,,,,,
75,2/18/2021 0:00,60,DRH38,"Label=NSSDR07HC, CellID=7465, LogicRNCID=838",1855.099,418.751,100,100,9,3.489,2,,,,,,
76,2/18/2021 0:00,60,DRH38,"Label=NSSDR07HA, CellID=7463, LogicRNCID=838",1355.815,1139.668,100,100,20,12.71,0,,,,,,
77,2/18/2021 0:00,60,DRH38,"Label=NSSDR07WC, CellID=14208, LogicRNCID=838",1362.64,1075.79,100,100,20,10.656,0,,,,,,
78,2/18/2021 0:00,60,DRH38,"Label=NSSDR07WA, CellID=14206, LogicRNCID=838",1506.25,972.107,100,100,16,9.661,1,,,,,,
79,2/18/2021 0:00,60,DRH38,"Label=NSSDR10HB, CellID=8901, LogicRNCID=838",1811.261,1614.238,100,99.912,26,15.451,0,,,,,,
80,2/18/2021 0:00,60,DRH38,"Label=NSSDR10WC, CellID=14211, LogicRNCID=838",1344.683,263.85,100,100,10,4.454,2,,,,,,
81,2/18/2021 0:00,60,DRH38,"Label=NSSDR10WA, CellID=14209, LogicRNCID=838",2263.847,437.184,100,100,8,3.681,2,,,,,,
82,2/18/2021 0:00,60,DRH38,"Label=NSSDR58HA, CellID=8864, LogicRNCID=838",2230.043,855.511,100,99.268,12,6.858,1,,,,,,
83,2/18/2021 0:00,60,DRH38,"Label=NSSDR58WC, CellID=14256, LogicRNCID=838",1376.761,749.834,100,100,15,8.217,1,,,,,,
84,2/18/2021 0:00,60,DRH38,"Label=NSSDR58WA, CellID=14254, LogicRNCID=838",1872.81,621.673,100,100,16,7.824,1,,,,,,
